200 黄现璠 | 近现代 1899~1982 | 文学、思想、政治 | 广西 | 壮 |  | 历史学家、民族学家、教育家。
272 陈省身 | 近现代 1911~2004 | 思想、科技 | 浙江 | 汉 |  | 数学家（1911年至2004年）。
273 茅盾 | 近现代 1896~1981 | 文学、政治 | 浙江 | 汉 |  | 中国作家（1896－1981）。
274 明武宗 | 明 1491~1521 | 政治 | 北京 | 汉 |  | 明朝第10位皇帝。
275 明熹宗 | 明 1605~1627 | 政治 | 北京 | 汉 | 帝 | 大明第15位皇帝、天启帝。
276 明光宗 | 明 1582~1620 | 政治 | 北京 | 汉 |  | 大明第14位皇帝。
277 柳宗元 | 唐 773~819 | 文学、艺术、政治 | 陕西 | 汉 |  | 唐宋八大家之一，唐朝文學家。
278 孟浩然 | 唐 690~740 | 文学 | 湖北 | 汉 |  | 唐时期文学人物。
279 苏颂 | 北宋 1020~1101 | 文学、思想、科技、医学、外交、政治 | 福建 | 汉 |  | 中國博學家、政治家 (1020–1101)。
280 景泰帝 | 明 1428~1457 | 政治 | 北京 | 汉 |  | 明朝第7位皇帝。
281 张作霖 | 近现代 1875~1928 | 军事、政治 | 辽宁 | 汉 |  | 中華民國陸海軍大元帥、北洋政府末任統治者、奉系軍閥首領 （1875-1928)。
282 邵逸夫 | 近现代 1907~2014 | 科技、艺术 | 浙江 | 汉 |  | 香港電影及電視製作人、娛樂業大亨、慈善家 (1907-2014)。
283 叶剑英 | 近现代 1897~1986 | 军事、政治 | 河北 | 汉 |  | 中华人民共和国十大元帅之一，第五届全国人民代表大会常务委员会委员长。
284 隋炀帝 | 隋 569~618 | 文学 | 陕西 | 汉 |  | 隋朝第2位皇帝。
285 宋英宗 | 北宋 1032~1067 | 政治 | 河南 | 汉 |  | 宋朝第5位皇帝、宋太宗曾孙。
286 宋仁宗 | 北宋 1010~1063 | 艺术、政治 | 河南 | 汉 |  | 宋朝第4位皇帝。
287 宋神宗 | 北宋 1048~1085 | 政治 | 河南 | 汉 | 帝 | 宋朝第6位皇帝。
288 明英宗 | 明 1427~1464 | 政治 | 北京 | 汉 |  | 明朝第6位皇帝。
289 第八世哲布尊丹巴呼图克图 | 近现代 1869~1924 | 文学、思想 | 四川 | 汉 |  | 外蒙古第一任最高领袖。
290 丁玲 | 近现代 1904~1986 | 文学、政治 | 湖南 | 汉 |  | 中国女作家 (1904-1986)。
291 周璇 | 近现代 1920~1957 | 艺术 | 江苏 | 汉 |  | 中国近代女歌手、演员 (1920-1957)。
292 惠能 | 唐 638~713 | 文学、思想 | 广东 | 汉 |  | 唐代僧人（638～713），中国佛教禅宗六祖。
293 李大钊 | 近现代 1889~1927 | 思想、政治 | 河北 | 汉 |  | 中国共产党主要创立人之一 (1889–1927)。
294 梁启超 | 近现代 1873~1929 | 文学、思想、政治 | 广东 | 汉 |  | 中国清末民初思想、政治、改革家。
295 张飞 | 三国 167~221 | 军事、政治 | 河北 | 汉 |  | 三国时期政治人物。
296 米芾 | 北宋 1051~1107 | 文学、艺术 | 江苏 | 汉 |  | 北宋时期文学人物。
297 宋哲宗 | 北宋 1077~1100 | 政治 | 河南 | 汉 |  | 宋朝第7位皇帝。
298 元武宗 | 元 1281~1311 | 军事 | 北京 | 蒙古 |  | 元朝第3位皇帝。
299 李自成 | 清 1606~1645 | 政治 | 陕西 | 汉 |  | 中国明朝末年起义领袖、大顺政权建立者。
300 施耐庵 | 明 1296~1372 | 文学 | 江苏 | 汉 |  | 元代末期至明代初期小說家(1296-1372)。
301 明宪宗 | 明 1447~1487 | 艺术 | 北京 | 汉 |  | 明朝第8位皇帝。
302 袁枚 | 清 1716~1797 | 文学、艺术、政治 | 浙江 | 汉 |  | 中国清代诗人、诗论家（1716-1797）。
303 董必武 | 近现代 1886~1975 | 政治 | 湖北 | 汉 |  | 前中华人民共和国副主席。
304 陈毅 | 近现代 1901~1972 | 外交、政治 | 四川 | 汉 |  | 中华人民共和国元帅。
305 艾青 | 近现代 1910~1996 | 文学、艺术 | 浙江 | 汉 |  | 中国诗人（1910－1996）。
306 宋太宗 | 北宋 939~997 | 政治 | 河南 | 汉 |  | 宋朝第2位皇帝、宋太祖同母弟。
307 怯的不花 | 元 1250~1260 | 军事 | 内蒙古 | 蒙古 |  | 元时期军事人物。
308 札尼别 | 元 1350~1357 | 政治 | 内蒙古 | 蒙古 | 帝 | 元时期政治人物。
309 明孝宗 | 明 1470~1505 | 文学、艺术 | 北京 | 汉 |  | 明朝第9位皇帝。
310 明穆宗 | 明 1537~1572 | 政治 | 北京 | 汉 |  | 大明第12位皇帝。
311 齐白石 | 近现代 1864~1957 | 文学、艺术、政治 | 湖南 | 汉 |  | 中国著名国画家。
312 多尔衮 | 清 1612~1650 | 政治 | 辽宁 | 满 |  | 清太祖努爾哈赤第十四子。
313 李商隐 | 唐 813~858 | 文学、艺术 | 河南 | 汉 |  | 唐时期文学、艺术人物。
314 宋真宗 | 北宋 968~1022 | 政治 | 河南 | 汉 |  | 宋朝第3位皇帝。
315 王汗 | 元 1130~1203 | 政治 | 内蒙古 | 蒙古 | 帝 | 元时期政治人物。
316 元仁宗 | 元 1285~1320 | 政治 | 内蒙古 | 蒙古 |  | 元朝第4位皇帝。
317 段祺瑞 | 近现代 1865~1936 | 政治 | 安徽 | 汉 |  | 前中华民国北洋政府国务总理。
318 李宗仁 | 近现代 1891~1969 | 政治 | 广西 | 汉 |  | 前任中华民国代理总统。
319 阮玲玉 | 近现代 1910~1935 | 艺术 | 上海 | 汉 |  | 中国默片时代女演员。
320 习仲勋 | 近现代 1913~2002 | 政治 | 陕西 | 汉 |  | 中国共产党和中华人民共和国元老之一。
321 黎元洪 | 近现代 1864~1928 | 政治 | 湖北 | 汉 |  | 中國政治家，曾兩度出任中華民國大總統。
322 元稹 | 唐 779~831 | 文学、艺术 | 河南 | 汉 |  | 中國唐代詩人。
323 唐中宗 | 唐 656~710 | 政治 | 陕西 | 汉 | 帝 | 唐时期政治人物。
324 宋高宗 | 北宋 1107~1187 | 政治、文学、艺术 | 河南 | 汉 | 帝 | 宋朝第十任皇帝，南宋开国皇帝。
325 盛世才 | 近现代 1897~1970 | 政治 | 辽宁 | 汉 |  | 民国新疆军阀。
326 宋子文 | 近现代 1893~1971 | 外交、政治 | 上海 | 汉 |  | 中華民國政治人物。
327 钱锺书 | 近现代 1910~1998 | 文学 | 江苏 | 汉 |  | 中國作家、文學研究家（1910－1998）。
328 义净 | 唐 635~713 | 文学、思想 | 北京 | 汉 |  | 唐代高僧，佛經翻譯家。
329 海都 | 元 1235~1301 | 军事、政治 | 内蒙古 | 蒙古 |  | 元时期军事、政治人物。
330 冯梦龙 | 明 1574~1646 | 文学 | 江苏 | 汉 |  | 明代文学家、戏曲家。
331 吴三桂 | 清 1612~1678 | 政治 | 辽宁 | 汉 | 帝 | 明末清初政治人物 (1612-1678)。
332 婉容 | 近现代 1906~1946 | 政治 | 北京 | 满 |  | 大清帝国皇后，溥仪妻子。
333 黄飞鸿 | 近现代 1847~1925 | 医学 | 广东 | 汉 |  | 中国武术家 (1847-1924)。
334 冯玉祥 | 近现代 1882~1948 | 军事、政治 | 河北 | 汉 |  | 清时期政治人物。
335 吴佩孚 | 近现代 1878~1939 | 军事、政治 | 山东 | 汉 |  | 民国时期直系军阀首领。
336 陈诚 | 近现代 1897~1965 | 军事、政治 | 浙江 | 汉 |  | 中华民国第2、3任副总统，第5、7任行政院院长，陆军上将 (1897–1965)。
337 胡汉民 | 近现代 1879~1936 | 艺术、政治 | 广东 | 汉 |  | 中國國民黨政治人物（1879－1936）。
338 姚文元 | 近现代 1931~2005 | 文学、政治 | 浙江 | 汉 |  | 文革“四人帮”成员。
339 张玉良 | 近现代 1899~1977 | 艺术 | 江苏 | 汉 |  | 中国现代油画家、雕塑家（1895～1977）。
340 陈云 | 近现代 1905~1995 | 政治 | 上海 | 汉 |  | 中国共产党革命元老。
341 李贺 | 唐 805~831 | 文学 | 河南 | 汉 |  | 唐时期文学人物。
342 唐肃宗 | 唐 711~762 | 政治 | 陕西 | 汉 |  | 唐朝第8位皇帝。
343 宋理宗 | 南宋 1205~1264 | 政治 | 浙江 | 汉 |  | 宋朝第14位皇帝。
344 宋钦宗 | 北宋 1100~1161 | 政治 | 河南 | 汉 |  | 宋朝第9位皇帝、北宋末代皇帝。
345 和珅 | 清 1750~1799 | 文学、政治 | 北京 | 满 |  | 清乾隆朝殿阁大学士、军机大臣。
346 徐世昌 | 近现代 1855~1939 | 艺术、政治 | 河南 | 汉 |  | 中华民国第2任大总统（北洋政府）。
347 曹禺 | 近现代 1910~1996 | 文学、艺术、政治 | 天津 | 汉 |  | 中國戲劇家和作家（1910－1996）。
348 宋教仁 | 近现代 1882~1913 | 政治 | 湖南 | 汉 |  | 中国近代民主革命家 (1882-1913)。
349 曹锟 | 近现代 1862~1938 | 军事、政治 | 天津 | 汉 |  | 中華民國北洋政府第3任正式大總統。
350 冯国璋 | 近现代 1859~1919 | 政治 | 河北 | 汉 |  | 中华民国大总统（代理） 曾任副总统。
351 王震 | 近现代 1908~1993 | 军事、政治 | 湖南 | 汉 |  | 中國軍事將領、政治人物。
352 田汉 | 近现代 1898~1968 | 文学 | 湖南 | 汉 |  | 中国话剧作家、戏曲作家、电影剧本作家、小说家和诗人 (1898-1968)。
353 蔡琰 | 三国 177~249 | 文学 | 河南 | 汉 |  | 东汉和三国时期诗人。
354 唐德宗 | 唐 742~805 | 文学 | 陕西 | 汉 |  | 唐朝第10位皇帝。
355 唐代宗 | 唐 727~779 | 政治 | 河南 | 汉 |  | 唐朝第9位皇帝。
356 马远 | 南宋 1160~1225 | 艺术 | 浙江 | 汉 |  | 南宋时期艺术人物。
357 郭熙 | 北宋 1023~1090 | 文学、艺术 | 河南 | 汉 |  | 北宋时期文学、艺术人物。
358 唆鲁禾帖尼 | 元 1190~1252 | 政治 | 内蒙古 | 蒙古 |  | 元时期政治人物。
359 赵孟頫 | 元 1254~1322 | 文学、艺术、政治 | 浙江 | 汉 |  | 中国宋末元初著名书画家。
360 郭守敬 | 元 1231~1316 | 文学、科技、政治 | 河北 | 汉 |  | 中国元代天文学家和数学家（1231－1316）。
361 董其昌 | 明 1555~1636 | 文学、艺术、政治 | 上海 | 汉 |  | 明朝末期书画家。
362 戚継光 | 明 1528~1588 | 文学、军事 | 山东 | 汉 |  | 中国明朝军事家。
363 王夫之 | 清 1619~1692 | 文学、思想 | 湖南 | 汉 |  | 明末清初学者、思想家。
364 严家淦 | 近现代 1905~1993 | 政治 | 江苏 | 汉 |  | 前任中華民國總統。
365 郎世宁 | 清 1688~1766 | 科技、艺术 | 北京 | 汉 |  | 天主教耶稣会修士、清朝中国宫廷画家（1688–1766）。
366 冯友兰 | 近现代 1895~1990 | 文学、思想 | 河南 | 汉 |  | 中国哲学家、哲学史家（1895－1990）。
367 沈从文 | 近现代 1902~1988 | 文学 | 湖南 | 汉 |  | 中国文学家和考古学家（1902-1988）。
368 刘伯承 | 近现代 1892~1986 | 军事、政治 | 重庆 | 汉 |  | 中华人民共和国元帅。
369 川岛芳子 | 近现代 1907~1948 | 军事 | 北京 | 满 |  | 满洲国安国军总司令 (1907-1948)。
370 张春桥 | 近现代 1917~2005 | 文学、政治 | 山东 | 汉 |  | 中华人民共和国政治人物，“四人帮”成员。
371 陈景润 | 近现代 1933~1996 | 科技、政治 | 福建 | 汉 |  | 中国数学家（1933年-1996年）。
372 刘禅 | 三国 207~271 | 政治 | 河南 | 汉 |  | 中国三国时期君主、汉朝（蜀汉）末代君主。
373 孙坚 | 三国 155~192 | 军事、政治 | 浙江 | 汉 |  | 東漢末年的地方軍閥。
374 临济义玄 | 唐 850~867 | 文学、思想 | 山东 | 汉 |  | 中国僧人，临济宗初祖。
375 唐哀帝 | 唐 892~908 | 政治 | 陕西 | 汉 | 帝 | 唐朝第21位皇帝。
376 宋宁宗 | 南宋 1168~1224 | 政治 | 浙江 | 汉 |  | 宋朝第13位皇帝。
377 赵昺 | 南宋 1272~1279 | 政治 | 浙江 | 汉 | 帝 | 中国宋朝（南宋）末代皇帝。
378 宋恭帝 | 南宋 1271~1323 | 文学 | 浙江 | 汉 |  | 宋朝第16位皇帝、元朝瀛国公。
379 宋度宗 | 南宋 1240~1274 | 政治 | 浙江 | 汉 |  | 宋朝第15位皇帝、宋太祖11世孙。
380 元泰定帝 | 元 1293~1328 | 政治 | 北京 | 蒙古 |  | 元朝第6位皇帝。
381 元文宗 | 元 1304~1332 | 艺术 | 内蒙古 | 蒙古 |  | 元朝第8位皇帝。
382 元明宗 | 元 1300~1329 | 政治 | 内蒙古 | 蒙古 |  | 元朝第9位皇帝。
383 元宁宗 | 元 1326~1332 | 政治 | 北京 | 蒙古 |  | 元朝第10位皇帝。
384 黄宗沾 | 清 1899~1976 | 艺术 | 广东 | 汉 |  | 美籍华人摄影师 (1899-1976)。
385 奕䜣 | 清 1833~1898 | 政治 | 北京 | 汉 |  | 中国清朝皇室及政治人物，道光皇帝第六子，首代恭亲王。
386 谭嗣同 | 清 1865~1898 | 文学、思想、政治 | 北京 | 汉 |  | 中国清朝末期改革运动家、思想家。
387 赵佗 | 秦 -229~-136 | 政治 | 河北 | 汉 | 帝 | 南越国开国君主。
388 曹芳 | 三国 232~274 | 政治 | 河南 | 汉 |  | 三国时期政治人物。
389 孙策 | 三国 175~200 | 思想 | 江苏 | 汉 |  | 东汉末年的地方军阀。
390 魏征 | 唐 580~643 | 文学、思想、政治 | 河北 | 汉 |  | 隋末唐初政治人物。
391 韩干 | 唐 742~783 | 艺术 | 河南 | 汉 |  | 唐时期艺术人物。
392 刘禹锡 | 唐 772~842 | 文学、思想、艺术、政治 | 浙江 | 汉 |  | 中国唐代文学家、哲学家（772-842）。
393 陆羽 | 唐 733~804 | 文学 | 湖北 | 汉 |  | 唐时期文学人物。
394 唐宪宗 | 唐 778~820 | 政治 | 陕西 | 汉 |  | 唐朝第12位皇帝。
395 唐武宗 | 唐 814~846 | 政治 | 陕西 | 汉 |  | 唐朝第16位皇帝。
396 张载 | 北宋 1020~1077 | 思想 | 河南 | 汉 |  | 北宋思想家、北宋五子之一（1020－1077）。
397 黄庭坚 | 北宋 1045~1105 | 文学、艺术 | 江西 | 汉 |  | 北宋诗人、书法家 (1045–1105)。
398 完颜阿骨打 | 辽 1068~1123 | 军事 | 黑龙江 | 女真 |  | 金代开国皇帝 (1068-1123)。
399 拉班·扫马 | 元 1220~1294 | 外交 | 北京 | 维吾尔 |  | 元朝访问欧洲的中国旅行家（?～1294）。
400 李贽 | 明 1527~1602 | 思想 | 福建 | 汉 |  | 明朝中期思想家、理学家、文学家（1527-1602）。
401 唐寅 | 明 1470~1524 | 文学、艺术 | 江苏 | 汉 |  | 中国明朝画家、文学家（1470—1524）。
402 顾炎武 | 清 1613~1682 | 文学、思想、科技 | 江苏 | 汉 |  | 明末清初学者、思想家。
403 贾谊 | 西汉 -199~-167 | 文学、思想、政治 | 河南 | 汉 |  | 西漢學者、政治人物。
404 张辽 | 三国 169~222 | 军事 | 山西 | 汉 |  | 中国古代历史人物。
405 曹髦 | 三国 241~260 | 文学、政治 | 河南 | 汉 |  | 三国时期文学、政治人物。
406 孙休 | 三国 235~264 | 政治 | 江苏 | 汉 |  | 三国时期政治人物。
407 孙思邈 | 唐 581~682 | 文学、思想、艺术、医学 | 陕西 | 汉 |  | 唐时期文学、思想、艺术、医学人物。
408 王昌龄 | 唐 698~756 | 文学、政治 | 山西 | 汉 |  | 中国唐朝诗人。
409 黄巢 | 唐 801~884 | 文学、军事 | 山东 | 汉 |  | 中國唐末民变领袖。
410 王勃 | 唐 650~676 | 文学 | 山西 | 汉 |  | 唐时期文学人物。
411 耶律楚材 | 元 1190~1244 | 文学、政治 | 北京 | 契丹 |  | 金时期文学、政治人物。
412 管道升 | 元 1262~1319 | 文学、艺术 | 浙江 | 汉 |  | 元时期文学人物。
413 汤显祖 | 明 1550~1616 | 文学 | 江西 | 汉 |  | 明代戲曲作家。
414 张之洞 | 清 1837~1909 | 政治 | 河北 | 汉 |  | 晚清四大名臣之一。
415 左宗棠 | 清 1812~1885 | 艺术、政治 | 湖南 | 汉 |  | 中国晚清重臣（1812～1885），军事家、政治家、湘军重要统帅，洋务派重要首领之一。
416 夏侯惇 | 东汉 155~220 | 军事 | 安徽 | 汉 |  | 东汉末年将领。
417 王弼 | 三国 226~249 | 文学、思想、政治 | 山东 | 汉 |  | 三國時代曹魏經學家、易學家。
418 姜维 | 三国 202~264 | 政治 | 甘肃 | 汉 |  | 三国蜀汉将领。
419 狄仁杰 | 唐 630~704 | 政治 | 山西 | 汉 |  | 唐朝官員、武則天時期宰相。
420 唐昭宗 | 唐 867~904 | 政治 | 陕西 | 汉 | 帝 | 唐朝第20位皇帝。
421 程颐 | 北宋 1033~1107 | 思想 | 湖北 | 汉 |  | 北宋时期思想人物。
422 宋端宗 | 南宋 1268~1278 | 政治 | 浙江 | 汉 | 帝 | 宋朝（南宋）皇帝。
423 昔班 | 元 1210~1248 | 军事 | 内蒙古 | 蒙古 |  | 元时期军事人物。
424 朱世杰 | 元 1249~1314 | 思想、科技 | 北京 | 汉 |  | 元时期思想、科技人物。
425 倪瓒 | 元 1306~1374 | 文学、艺术 | 江苏 | 汉 |  | 元时期文学人物。
426 张三丰 | 明 1200~1301 | 文学、思想 | 辽宁 | 汉 |  | 元明时期道士。
427 八大山人 | 清 1626~1705 | 文学、艺术 | 江西 | 汉 |  | 明末清初书画家。
428 文征明 | 明 1470~1559 | 文学、艺术 | 江苏 | 汉 |  | 明朝画家（1470－1559）。
429 沈周 | 明 1427~1509 | 文学、艺术 | 江苏 | 汉 |  | 明时期文学人物。
430 王贞仪 | 清 1768~1797 | 文学、科技 | 江苏 | 汉 |  | 清代女学者，天文学家，数学家。
431 曹仁 | 三国 168~223 | 军事 | 安徽 | 汉 |  | 三国时期曹魏宗室及武将。
432 唐穆宗 | 唐 795~824 | 文学 | 陕西 | 汉 |  | 唐朝第13位皇帝。
433 唐僖宗 | 唐 862~888 | 政治 | 陕西 | 汉 | 帝 | 唐朝第19位皇帝。
434 李唐 | 北宋 1050~1130 | 文学、艺术 | 河南 | 汉 |  | 北宋时期文学、艺术人物。
435 梁楷 | 南宋 1200~1300 | 艺术 | 山东 | 汉 |  | 南宋时期艺术人物。
436 夏圭 | 南宋 1195~1224 | 艺术 | 浙江 | 汉 |  | 南宋时期艺术人物。
437 丘处机 | 元 1148~1227 | 文学、外交 | 山东 | 汉 |  | 金、元时道士，全真道龙门派创始人（1148～1227）。
438 木华黎 | 元 1170~1223 | 军事 | 内蒙古 | 蒙古 |  | 元时期军事人物。
439 永历帝 | 清 1623~1662 | 政治 | 北京 | 汉 |  | 南明第4位皇帝、最後一代皇帝。
440 陈洪绶 | 清 1598~1652 | 文学、艺术 | 浙江 | 汉 |  | 清时期文学人物。
441 慈安太后 | 清 1837~1881 | 政治 | 北京 | 汉 |  | 清时期政治人物。
442 班婕妤 | 西汉 -47~-5 | 文学 | 山西 | 汉 |  | 西汉时期文学人物。
443 霍去病 | 西汉 -139~-116 | 军事、政治 | 山西 | 汉 |  | 汉武帝时期将军。
444 陈子昂 | 唐 661~702 | 文学、艺术、政治 | 四川 | 汉 |  | 唐代诗人 (661-702)。
445 一行 | 唐 683~727 | 文学、思想、科技 | 河南 | 汉 |  | 中国唐朝天文学家、佛学家、禅师（683-727）。
446 薛涛 | 唐 768~831 | 文学、艺术 | 陕西 | 汉 |  | 中国唐代女诗人。
